,id,rating,release_date_cert
300,41216,PG,2010-09-24 00:00:00+00:00
301,315837,PG-13,2017-03-31 00:00:00+00:00
302,35791,R,2010-09-10 00:00:00+00:00
303,38317,PG,2011-07-08 00:00:00+00:00
304,32823,R,2010-06-04 00:00:00+00:00
305,12201,R,2010-01-29 00:00:00+00:00
306,48289,R,2011-08-31 00:00:00+00:00
307,59437,R,2011-06-03 00:00:00+00:00
308,59437,R,2011-06-03 00:00:00+00:00
309,72914,NR,2010-04-16 00:00:00+00:00
310,10138,PG-13,2010-05-07 00:00:00+00:00
311,41402,R,2010-10-01 00:00:00+00:00
312,41402,R,2010-10-01 00:00:00+00:00
313,109443,PG-13,2013-12-18 00:00:00+00:00
314,300687,PG-13,2017-10-20 00:00:00+00:00
315,300687,PG-13,2017-10-20 00:00:00+00:00
316,49953,G,2011-03-25 00:00:00+00:00
317,41733,R,2010-11-04 00:00:00+00:00
318,23048,R,2010-03-26 00:00:00+00:00
319,87428,R,2012-06-15 00:00:00+00:00
320,49250,,2010-01-23 00:00:00+00:00
321,49250,,2010-01-23 00:00:00+00:00
322,64688,R,2012-03-12 00:00:00+00:00
323,62728,,
324,38543,R,2011-07-08 00:00:00+00:00
325,60747,PG-13,2012-11-21 00:00:00+00:00
326,97020,PG-13,2014-02-12 00:00:00+00:00
327,54662,R,2011-01-21 00:00:00+00:00
328,44147,PG-13,2010-10-29 00:00:00+00:00
329,98357,R,2013-01-18 00:00:00+00:00
330,347755,R,2015-10-16 00:00:00+00:00
331,98957,,2010-01-01 00:00:00+00:00
332,250184,R,2014-03-29 00:00:00+00:00
333,43947,R,2010-10-08 00:00:00+00:00
334,71859,R,2012-05-15 00:00:00+00:00
335,71859,R,2012-05-15 00:00:00+00:00
336,37710,PG-13,2010-12-10 00:00:00+00:00
337,222936,PG-13,2015-05-29 00:00:00+00:00
338,27569,PG,2010-01-21 00:00:00+00:00
339,45094,R,2010-10-15 00:00:00+00:00
340,154205,,2011-01-01 00:00:00+00:00
341,154205,,2011-01-01 00:00:00+00:00
342,154205,,2011-01-01 00:00:00+00:00
343,418437,R,2017-04-21 00:00:00+00:00
344,418437,R,2017-04-21 00:00:00+00:00
345,418437,R,2017-04-21 00:00:00+00:00
346,27584,R,2012-09-04 00:00:00+00:00
347,27584,R,2012-09-04 00:00:00+00:00
348,23483,R,2010-04-16 00:00:00+00:00
349,51995,PG,2011-07-15 00:00:00+00:00
350,53182,R,2014-03-07 00:00:00+00:00
351,37958,R,2011-11-11 00:00:00+00:00
352,426563,PG-13,2018-12-25 00:00:00+00:00
353,97430,R,2012-11-02 00:00:00+00:00
354,22970,R,2012-04-12 00:00:00+00:00
355,22970,R,2012-04-12 00:00:00+00:00
356,449443,R,2018-01-19 00:00:00+00:00
357,35402,R,2010-09-10 00:00:00+00:00
358,35402,R,2010-09-10 00:00:00+00:00
359,37786,R,2010-05-27 00:00:00+00:00
360,41446,R,2011-04-11 00:00:00+00:00
361,49950,PG-13,2011-02-04 00:00:00+00:00
362,184315,PG-13,2014-07-25 00:00:00+00:00
363,184315,PG-13,2014-07-25 00:00:00+00:00
364,62630,R,2011-07-29 00:00:00+00:00
365,46261,R,2010-11-06 00:00:00+00:00
366,204973,,2011-07-15 00:00:00+00:00
367,204973,,2011-07-15 00:00:00+00:00
368,136400,R,2013-08-02 00:00:00+00:00
369,95755,R,2012-03-10 00:00:00+00:00
370,220882,R,2018-10-26 00:00:00+00:00
371,23172,PG,2010-01-15 00:00:00+00:00
372,44638,PG-13,2010-12-10 00:00:00+00:00
373,44638,PG-13,2010-12-10 00:00:00+00:00
374,44638,PG-13,2010-12-10 00:00:00+00:00
375,297596,R,2014-12-04 00:00:00+00:00
376,59967,R,2012-09-28 00:00:00+00:00
377,80321,PG,2012-06-08 00:00:00+00:00
378,35056,PG-13,2010-04-08 00:00:00+00:00
379,281230,,2014-01-01 00:00:00+00:00
380,37735,PG-13,2010-09-17 00:00:00+00:00
381,52449,R,2011-06-19 00:00:00+00:00
382,371608,"R,NR",2018-06-12 00:00:00+00:00
383,37799,PG-13,2010-10-01 00:00:00+00:00
384,39691,PG,2010-07-30 00:00:00+00:00
385,109428,R,2013-04-05 00:00:00+00:00
386,43074,PG-13,2016-07-15 00:00:00+00:00
387,66468,R,2010-10-15 00:00:00+00:00
388,98566,PG-13,2014-08-08 00:00:00+00:00
389,59440,PG-13,2011-09-09 00:00:00+00:00
390,47971,PG-13,2017-01-20 00:00:00+00:00
391,35690,PG,2010-03-31 00:00:00+00:00
392,85860,R,2011-03-13 00:00:00+00:00
393,80035,R,2012-07-27 00:00:00+00:00
394,1865,PG-13,2011-05-07 00:00:00+00:00
395,49444,PG,2011-05-25 00:00:00+00:00
396,41515,PG,2010-12-17 00:00:00+00:00
397,55567,,2010-07-16 00:00:00+00:00
398,34563,PG-13,2010-03-12 00:00:00+00:00
399,50321,PG,2011-03-11 00:00:00+00:00
400,40807,R,2011-09-28 00:00:00+00:00
401,40807,R,2011-09-28 00:00:00+00:00
402,88005,R,2012-06-22 00:00:00+00:00
403,70074,R,2013-02-01 00:00:00+00:00
404,44629,R,2010-01-22 00:00:00+00:00
405,68412,,2010-01-24 00:00:00+00:00
406,44040,PG-13,2010-09-17 00:00:00+00:00
407,45054,PG-13,2011-05-06 00:00:00+00:00
408,61791,PG-13,2011-08-04 00:00:00+00:00
409,38358,PG-13,2010-08-27 00:00:00+00:00
410,27578,R,2010-08-03 00:00:00+00:00
411,38745,PG,2010-12-25 00:00:00+00:00
412,49787,R,2010-05-15 00:00:00+00:00
413,34803,R,2010-04-15 00:00:00+00:00
414,50780,PG-13,2011-05-05 00:00:00+00:00
415,79698,R,2015-02-13 00:00:00+00:00
416,79698,R,2015-02-13 00:00:00+00:00
417,82682,R,2013-01-07 00:00:00+00:00
