,id,imdb_id,title,budget,release_date,revenue,runtime,original_language,original_title,vote_average,vote_count,poster_path,genres_id,genres_name,spoken_languages_name,production_companies_id,production_companies_name,production_companies_origin_country
2805,328571,tt1803157,Followed,0,2011-04-05,0,,en,Followed,4.0,1,,[],[],[],[],[],[]
2806,63143,tt1398949,Blank City,0,2011-04-06,99303,94.0,en,Blank City,7.0,9,/lY9Qm7CJI92R2owoBDUaWaLelnG.jpg,[99],['Documentary'],['English'],[7407],['Insurgent Docs'],['US']
2807,102652,tt1842520,They're Out of the Business,0,2011-04-06,0,89.0,en,They're Out of the Business,5.0,3,/ajIDPbdF3SDcP33ZPmJOJsu1SeF.jpg,[35],['Comedy'],['English'],[],[],[]
2808,83938,tt1785550,Scream: The Inside Story,0,2011-04-06,0,120.0,en,Scream: The Inside Story,6.7,11,,[99],['Documentary'],['English'],[],[],[]
2809,296273,tt1886757,When Harry Met Sally 2 with Billy Crystal and Helen Mirren,0,2011-04-06,0,5.0,en,When Harry Met Sally 2 with Billy Crystal and Helen Mirren,6.0,4,/5B2JBICP0acdv6ZdlLZo3QYQJbH.jpg,"[35, 27]","['Comedy', 'Horror']",[],[],[],[]
2810,601429,tt1880259,La salsa Cubana,0,2011-04-07,0,,en,La salsa Cubana,9.0,1,/kxq0LqLqggP1EX1KSGwFOV4dcv4.jpg,"[99, 36, 10402]","['Documentary', 'History', 'Music']","['English', 'Español']",[118243],['Me Priva Pictures'],['']
2811,78709,tt1414820,Blaze Foley: Duct Tape Messiah,0,2011-04-07,0,74.0,en,Blaze Foley: Duct Tape Messiah,6.2,3,/i2AvNnlAO0EWbplGUT95jpdPAMR.jpg,"[99, 10402]","['Documentary', 'Music']",['English'],[96015],['Abraxas Productions'],['']
2812,49012,tt1334512,Arthur,40000000,2011-04-08,45735397,110.0,en,Arthur,5.5,477,/foUTAJurvnbUoIUbnuUk5dyHx7M.jpg,"[35, 10749]","['Comedy', 'Romance']",['English'],[174],['Warner Bros. Pictures'],['US']
2813,226207,tt1600060,The Family Jams,0,2011-04-08,0,81.0,en,The Family Jams,4.5,2,,"[99, 10402]","['Documentary', 'Music']",['English'],[],[],[]
2814,38319,tt1240982,Your Highness,49900000,2011-04-08,26121638,102.0,en,Your Highness,5.3,839,/9pt8u6nkQ9hQsUJ4xotZZBj4QCX.jpg,"[35, 12, 14]","['Comedy', 'Adventure', 'Fantasy']",['English'],"[33, 4403]","['Universal Pictures', 'Stuber Productions']","['US', '']"
2815,300250,tt1737631,Night Of The Alien,0,2011-04-08,0,80.0,en,Night Of The Alien,5.0,1,/7NbZZJbpFeEZIwURF7oV6TMOaox.jpg,"[35, 878]","['Comedy', 'Science Fiction']",['English'],"[90831, 90832]","['Smart Art LA', 'Mighty Mite Productions']","['', '']"
2816,74943,tt1791500,Evil Bong 3: The Wrath of Bong,0,2011-04-08,91260,86.0,en,Evil Bong 3: The Wrath of Bong,4.4,11,/snjCfko4Q1naX0DPd3aOUWJX2RI.jpg,"[35, 27, 878]","['Comedy', 'Horror', 'Science Fiction']",['English'],[15352],['Full Moon Features'],['']
2817,53172,tt1220888,Henry's Crime,12000000,2010-01-14,204940,108.0,en,Henry's Crime,5.8,196,/1i1sDWOZecbUZ4Yp9DG5UiTBBRl.jpg,"[80, 35]","['Crime', 'Comedy']",['English'],[7193],['Company Films'],['US']
2818,302757,tt1888554,Milltown Pride,0,2011-04-08,0,,en,Milltown Pride,3.0,1,,[],[],[],[],[],[]
2819,240618,,The Quest,0,2011-04-08,0,84.0,en,The Quest,4.3,2,,[99],['Documentary'],[],[],[],[]
2820,50081,tt1680059,Born to Be Wild,0,2011-04-08,7732325,40.0,en,Born to Be Wild,7.1,37,/78qdFtASdnBSOiqSvazDgxGcQHk.jpg,[99],['Documentary'],['English'],[3447],['IMAX'],['CA']
2821,61601,tt1565063,Good Day for It,2500000,2011-04-08,0,89.0,en,Good Day for It,5.1,7,/8g2XVDATOQxenJpTfslSjFNuK2u.jpg,"[28, 53]","['Action', 'Thriller']",['English'],[7720],['NAZZ Productions'],['']
2822,184127,tt2075244,M Hotel,0,2011-04-08,0,11.0,th,M Hotel,4.6,5,,[],[],['ภาษาไทย'],[],[],[]
2823,43959,tt1596346,Soul Surfer,18000000,2011-04-08,47088990,112.0,en,Soul Surfer,7.0,815,/cvgRxrEupUFeJ0xzUExJo4dMXbL.jpg,"[10751, 18]","['Family', 'Drama']",['English'],"[7263, 3235, 10156, 551, 559]","['FilmDistrict', 'Brookwell-McNamara Entertainment', 'Affirm Films', 'Mandalay Pictures', 'TriStar Pictures']","['US', 'US', 'US', 'US', 'US']"
2824,50456,tt0993842,Hanna,30000000,2011-04-07,63782078,111.0,en,Hanna,6.6,2249,/y6eUw7NBngM8lzygVjLUVAYsh8e.jpg,"[28, 53, 12]","['Action', 'Thriller', 'Adventure']","['English', 'Français', 'Deutsch', 'Italiano', 'العربية', 'Español']","[10146, 14684, 21439, 23919]","['Focus Features', 'Neunte Babelsberg Film', 'Holleran Company', 'Sechzehnte Babelsberg Film']","['US', '', '', '']"
2825,132912,tt1734163,The Price of Sex,0,2011-04-09,0,73.0,en,The Price of Sex,6.0,4,,[99],['Documentary'],"['English', 'Türkçe', 'Română']",[],[],[]
2826,86577,tt1613092,Happy,700000,2011-04-09,0,75.0,en,Happy,7.2,43,/wAz3VHk0nyeottwGc3lOFHi3Hky.jpg,[99],['Documentary'],['English'],[],[],[]
2827,168405,tt1842309,An Evening With My Comatose Mother,0,2011-04-09,0,33.0,en,An Evening With My Comatose Mother,4.8,3,,"[27, 35]","['Horror', 'Comedy']",['English'],[],[],[]
2828,86577,tt1613092,Happy,700000,2011-04-09,0,75.0,en,Happy,7.2,43,/wAz3VHk0nyeottwGc3lOFHi3Hky.jpg,[99],['Documentary'],['English'],[],[],[]
2829,254282,tt1740784,American Joyride,0,2011-04-09,0,95.0,en,American Joyride,1.0,1,,"[12, 35, 18, 53]","['Adventure', 'Comedy', 'Drama', 'Thriller']",['English'],[],[],[]
2830,81390,tt1422136,A Lonely Place to Die,4000000,2011-04-09,25345000,99.0,en,A Lonely Place to Die,6.0,307,/pzRJScaZISt5Tzawime4X3KELQH.jpg,"[12, 28, 53, 80]","['Adventure', 'Action', 'Thriller', 'Crime']","['English', 'Español', 'Italiano']","[4098, 21937, 4250]","['Carnaby International', 'Eigerwand Pictures', 'Molinare Studios']","['', '', '']"
2831,61341,tt1637728,Ferocious Planet,0,2011-04-09,0,89.0,en,Ferocious Planet,4.3,27,/coTjYIGfhpNOfbpbp4K5KNlj7PW.jpg,"[12, 28, 53, 878]","['Adventure', 'Action', 'Thriller', 'Science Fiction']",['English'],"[6677, 5122, 6739]","['Syfy', 'Parallel Films', 'RHI']","['US', 'IE', 'US']"
2832,61372,tt1831611,Colin Quinn: Long Story Short,0,2011-04-09,0,83.0,en,Colin Quinn: Long Story Short,6.4,6,/vBEKUdBfVDwGe6pnYrrkh9A4zzG.jpg,"[35, 10770]","['Comedy', 'TV Movie']",['English'],[],[],[]
2833,120872,tt1829747,The Girl and the Fox,0,2011-04-09,0,6.0,en,The Girl and the Fox,4.6,4,/lUVRQdGTfRxjyZnxzlJNQIrsnV7.jpg,"[16, 18, 14]","['Animation', 'Drama', 'Fantasy']",['No Language'],[],[],[]
2834,80432,tt1640570,The Wayshower,0,2011-04-10,0,90.0,en,The Wayshower,1.5,2,,[18],['Drama'],['English'],[],[],[]
2835,322519,tt1470173,Three Veils,0,2011-04-10,0,118.0,en,Three Veils,3.3,2,/jpUqEs3ttNiBAxXGV6hiKUW2qQk.jpg,[18],['Drama'],['English'],[94394],['Zahra Pictures'],['']
2836,73581,,The Schengen Files,0,2011-04-10,0,21.0,en,The Schengen Files,7.0,1,,[99],['Documentary'],[],[],[],[]
2837,322519,tt1470173,Three Veils,0,2011-04-10,0,118.0,en,Three Veils,3.3,2,/jpUqEs3ttNiBAxXGV6hiKUW2qQk.jpg,[18],['Drama'],['English'],[94394],['Zahra Pictures'],['']
2838,301368,tt1507351,Spilt Milk,0,2011-04-10,0,82.0,en,Spilt Milk,5.8,4,/lggy3hQAaHvD2ecXhmZ0SXQ6C8T.jpg,[35],['Comedy'],['English'],[],[],[]
2839,263963,tt3642508,Ghost Magnet,50,2011-02-01,0,82.0,en,Ghost Magnet,3.9,6,,[53],['Thriller'],['English'],[],[],[]
2840,65892,tt1747924,My Future Boyfriend,0,2011-04-10,0,73.0,en,My Future Boyfriend,5.1,41,/rkJJF0Zsu4eeYYj73xfZaU25qpj.jpg,[35],['Comedy'],['English'],[9026],['Bayonne Entertainment'],['']
2841,552110,,Bob Dylan: 1990-2006 - The Never Ending Narrative,0,2011-04-11,0,105.0,en,Bob Dylan: 1990-2006 - The Never Ending Narrative,10.0,1,/yFPxNI7lQ7ojlh1Th6dpGJ8VZ1F.jpg,[],[],['English'],[],[],[]
2842,242620,tt2087624,The Brady 6,0,2011-04-11,0,48.0,en,The Brady 6,9.0,2,/jRzWord6fxoX7q2AHMQAW2cKclo.jpg,[99],['Documentary'],[],[],[],[]
2843,41446,tt1262416,Scream 4,40000000,2011-04-11,97138686,111.0,en,Scream 4,6.2,1937,/c2gf4gLMEDKciWZIN2XTYUp2J3m.jpg,"[27, 9648]","['Horror', 'Mystery']",['English'],[7405],['Dimension Films'],['US']
