tconst,primary_title,original_title,start_year,runtime_minutes,genres,averagerating,numvotes,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,release_year
tt1226837,Beautiful Boy,Beautiful Boy,2018,120.0,"Biography,Drama",7.3,30368,95,2018-10-12,Beautiful Boy,25000000,7634767,13031424,2018
tt1533013,Beautiful Boy,Beautiful Boy,2010,100.0,Drama,6.6,6058,95,2018-10-12,Beautiful Boy,25000000,7634767,13031424,2018
tt1227378,"Fat, Sick & Nearly Dead","Fat, Sick & Nearly Dead",2010,97.0,Documentary,7.6,8164,10,2011-04-01,"Fat, Sick & Nearly Dead",2600000,0,0,2011
tt1228705,Iron Man 2,Iron Man 2,2010,124.0,"Action,Adventure,Sci-Fi",7.0,657690,15,2010-05-07,Iron Man 2,170000000,312433331,621156389,2010
tt1228987,Let Me In,Let Me In,2010,116.0,"Drama,Fantasy,Horror",7.1,107012,38,2010-10-01,Let Me In,20000000,12134935,28270399,2010
tt7122852,Let Me In,Let Me In,2017,74.0,Horror,5.1,7,38,2010-10-01,Let Me In,20000000,12134935,28270399,2010
tt1229340,Anchorman 2: The Legend Continues,Anchorman 2: The Legend Continues,2013,119.0,Comedy,6.3,156116,92,2013-12-18,Anchorman 2: The Legend Continues,50000000,127352707,172185754,2013
tt1230168,Same Kind of Different as Me,Same Kind of Different as Me,2017,119.0,"Biography,Drama",6.5,4319,95,2017-10-20,Same Kind of Different as Me,6500000,6423605,6423605,2017
tt1230204,A Turtle's Tale: Sammy's Adventures,Sammy's avonturen: De geheime doorgang,2010,88.0,"Adventure,Animation,Family",6.1,6310,21,2010-12-31,Sammy's avonturen: De geheime doorgang,25000000,0,71594792,2010
tt1231583,Due Date,Due Date,2010,95.0,"Adventure,Comedy",6.5,303523,84,2010-11-05,Due Date,65000000,100539043,211739043,2010
tt1231587,Hot Tub Time Machine,Hot Tub Time Machine,2010,101.0,"Comedy,Sci-Fi",6.4,153962,10,2010-03-26,Hot Tub Time Machine,36000000,50269859,65967750,2010
tt1232200,That's My Boy,That's My Boy,2012,116.0,Comedy,5.6,83009,71,2012-06-15,That's My Boy,57500000,36931089,58085235,2012
tt1232775,Drones,Drones,2010,98.0,Comedy,6.4,483,72,2010-12-31,Drones,500000,0,0,2010
tt2179027,Drones,Drones,2013,82.0,Thriller,4.5,719,72,2010-12-31,Drones,500000,0,0,2010
tt1232829,21 Jump Street,21 Jump Street,2012,109.0,"Action,Comedy,Crime",7.2,477771,44,2012-03-16,21 Jump Street,42000000,138447667,202812429,2012
