,id,imdb_id,title,budget,release_date,revenue,runtime,original_language,original_title,spoken_languages,vote_average,vote_count,genres,poster_path,production_companies
513,291084,tt1260581,Red Riding: The Year of Our Lord 1980,0,2009-02-28,0,93.0,en,Red Riding: The Year of Our Lord 1980,"[{'iso_639_1': 'en', 'name': 'English'}]",7.1,84,"[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]",/aAz1TCMY30XdqAiL2fm0PdLl00H.jpg,"[{'id': 2690, 'logo_path': '/9XXpd39mDfkWmcNB6R0tpvzo781.png', 'name': 'Screen Yorkshire', 'origin_country': 'GB'}, {'id': 181, 'logo_path': '/zhQ77XOviCBuXd74IurqqjgLNe0.png', 'name': 'Channel Four Films', 'origin_country': 'GB'}, {'id': 9987, 'logo_path': '/o5OTKAw7Acl5fTZYPyl8M8D9570.png', 'name': 'Lipsync Productions', 'origin_country': 'GB'}, {'id': 163, 'logo_path': None, 'name': 'Revolution Films', 'origin_country': 'GB'}]"
514,42826,,Meshuggah: Alive,0,2010-02-05,0,0.0,en,Meshuggah: Alive,[],6.3,3,"[{'id': 10402, 'name': 'Music'}]",,[]
515,57008,tt1753422,Alice in Murderland,0,2010-02-05,0,90.0,en,Alice in Murderland,"[{'iso_639_1': 'en', 'name': 'English'}]",2.8,13,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",/t4cCec1W5FljyrZt6bFfFDB0fTf.jpg,"[{'id': 6766, 'logo_path': None, 'name': 'Tom Cat Films', 'origin_country': ''}, {'id': 6765, 'logo_path': None, 'name': 'Sterling Entertainment', 'origin_country': ''}]"
516,291092,tt1259573,Red Riding: The Year of Our Lord 1983,0,2009-02-28,0,100.0,en,Red Riding: The Year of Our Lord 1983,"[{'iso_639_1': 'en', 'name': 'English'}]",7.0,81,"[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]",/qHT2xlO13txpjeaK3NUZbL4dktY.jpg,"[{'id': 2690, 'logo_path': '/9XXpd39mDfkWmcNB6R0tpvzo781.png', 'name': 'Screen Yorkshire', 'origin_country': 'GB'}, {'id': 181, 'logo_path': '/zhQ77XOviCBuXd74IurqqjgLNe0.png', 'name': 'Channel Four Films', 'origin_country': 'GB'}, {'id': 9987, 'logo_path': '/o5OTKAw7Acl5fTZYPyl8M8D9570.png', 'name': 'Lipsync Productions', 'origin_country': 'GB'}, {'id': 163, 'logo_path': None, 'name': 'Revolution Films', 'origin_country': 'GB'}]"
517,36410,tt1519661,Zero,0,2009-09-15,0,110.0,en,Zero,"[{'iso_639_1': 'pl', 'name': 'Polski'}]",5.8,6,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",/3BKe6bJEay1dQkKVz10iNQgQFFu.jpg,"[{'id': 50866, 'logo_path': None, 'name': 'Monolith Pictures (II)', 'origin_country': ''}]"
518,34104,tt1016090,The Cursed,0,2010-02-06,0,89.0,en,The Cursed,"[{'iso_639_1': 'en', 'name': 'English'}]",4.5,6,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",/iiDBPnrqbpBnEs76cKWK09hrKUt.jpg,[]
519,124804,,Back From Hell: A Tribute to Sam Kinison,0,2010-02-06,0,60.0,en,Back From Hell: A Tribute to Sam Kinison,[],6.2,3,"[{'id': 35, 'name': 'Comedy'}, {'id': 99, 'name': 'Documentary'}]",,[]
520,33602,tt1278469,Temple Grandin,0,2010-02-06,0,108.0,en,Temple Grandin,"[{'iso_639_1': 'en', 'name': 'English'}]",7.8,222,"[{'id': 18, 'name': 'Drama'}]",/gQhQ6yEkUkDDo1zugpq46PJN8xZ.jpg,"[{'id': 7429, 'logo_path': '/6in9uMqxXEHx5XgYgkeRBpZ4rPw.png', 'name': 'HBO Films', 'origin_country': 'US'}, {'id': 2054, 'logo_path': None, 'name': 'Ruby Films', 'origin_country': ''}]"
521,67198,tt1421048,Bloodworth,0,2010-02-06,0,105.0,en,Bloodworth,"[{'iso_639_1': 'en', 'name': 'English'}]",6.5,19,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",/ufZbCCEIt8PZJdexm73t4TFznTj.jpg,"[{'id': 5388, 'logo_path': '/i6tbNeVEi7s1uN97s2o0LhEMuF0.png', 'name': 'Sony Pictures Home Entertainment', 'origin_country': 'US'}]"
522,158382,tt1600409,Hotel Hell Vacation,0,2010-02-07,0,14.0,en,Hotel Hell Vacation,"[{'iso_639_1': 'en', 'name': 'English'}]",5.0,20,"[{'id': 35, 'name': 'Comedy'}]",/lT2MM3SIs5CSBzjweN9fB1tI1k7.jpg,[]
523,38592,,The Freedom Movie 2: A Spiritual Awakening,0,2010-02-08,0,129.0,en,The Freedom Movie 2: A Spiritual Awakening,"[{'iso_639_1': 'en', 'name': 'English'}]",5.7,3,"[{'id': 99, 'name': 'Documentary'}]",,[]
524,445075,tt1661081,The Black List: Volume Three,0,2010-02-08,0,30.0,en,The Black List: Volume Three,"[{'iso_639_1': 'en', 'name': 'English'}]",4.3,3,"[{'id': 99, 'name': 'Documentary'}]",,"[{'id': 3268, 'logo_path': '/tuomPhY2UtuPTqqFnKMVHvSb724.png', 'name': 'HBO', 'origin_country': 'US'}, {'id': 14914, 'logo_path': '/1RZBWz53SpHUTLpRcM8BGv2plIP.png', 'name': 'HBO Documentary Films', 'origin_country': 'US'}]"
525,314226,tt1754674,The Modifyers,0,2007-09-23,0,12.0,en,The Modifyers,"[{'iso_639_1': 'en', 'name': 'English'}]",8.5,2,"[{'id': 28, 'name': 'Action'}, {'id': 16, 'name': 'Animation'}]",,"[{'id': 20, 'logo_path': None, 'name': 'Rough Draft Studios', 'origin_country': ''}, {'id': 5371, 'logo_path': '/spvT3sCrBRTpE85cQHEihf0GCr6.png', 'name': 'Nickelodeon Productions', 'origin_country': 'US'}]"
526,357122,,Weirdest Dinosaurs,0,2010-02-09,0,50.0,en,Weirdest Dinosaurs,"[{'iso_639_1': 'en', 'name': 'English'}]",6.0,1,"[{'id': 99, 'name': 'Documentary'}]",,"[{'id': 7521, 'logo_path': '/fRqMjLjyAqThtEg9P9WKCXLmCpJ.png', 'name': 'National Geographic', 'origin_country': 'US'}]"
527,33570,tt1411276,Ice Castles,0,2010-02-09,0,95.0,en,Ice Castles,"[{'iso_639_1': 'en', 'name': 'English'}]",6.6,49,"[{'id': 18, 'name': 'Drama'}]",/rFn8VrTuhFXumtEjbZ1QdVdD6DA.jpg,"[{'id': 17837, 'logo_path': None, 'name': 'RCR Media Group', 'origin_country': ''}, {'id': 11341, 'logo_path': '/xytTBODEy3p20ksHL4Ftxr483Iv.png', 'name': 'Stage 6 Films', 'origin_country': 'US'}, {'id': 5003, 'logo_path': None, 'name': 'Jaffe/Braunstein Films', 'origin_country': ''}]"
528,26222,tt1199472,Heist,0,2010-02-09,0,90.0,en,Heist,"[{'iso_639_1': 'en', 'name': 'English'}]",5.0,1,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}]",,"[{'id': 4468, 'logo_path': None, 'name': 'Iceman Productions', 'origin_country': ''}]"
529,209720,tt1672176,Over Coffee,0,2010-02-09,0,15.0,en,Over Coffee,[],6.0,1,"[{'id': 35, 'name': 'Comedy'}]",/wYXWCLIoQclQZCeOndD6fzivaWL.jpg,"[{'id': 15743, 'logo_path': None, 'name': 'Two-Five Films', 'origin_country': ''}, {'id': 15744, 'logo_path': None, 'name': 'A Studio In Production', 'origin_country': ''}]"
530,90107,tt1593784,Shock Festival,0,2010-02-09,0,120.0,en,Shock Festival,[],7.5,1,[],,[]
531,28465,tt1360767,A Dangerous Man,6500000,2009-12-28,0,94.0,en,A Dangerous Man,"[{'iso_639_1': 'en', 'name': 'English'}]",5.1,65,"[{'id': 80, 'name': 'Crime'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",/c41ew9b9n8PQwwy6PlV5QAKXBGY.jpg,"[{'id': 4810, 'logo_path': None, 'name': 'My Own Worst Enemy', 'origin_country': ''}]"
532,184342,tt1612590,The Lazarus Effect,0,2010-02-09,0,32.0,en,The Lazarus Effect,[],3.9,4,[],,[]
533,66911,tt1651887,Celtic Thunder: It's Entertainment!,0,2010-02-09,0,124.0,en,Celtic Thunder: It's Entertainment!,[],5.1,4,"[{'id': 10402, 'name': 'Music'}]",,[]
534,59818,,Bad Company - Hard Rock Live,0,2010-02-09,0,0.0,en,Bad Company - Hard Rock Live,[],5.5,5,"[{'id': 10402, 'name': 'Music'}]",/uKiujPboG7AQYxL0NdZsfj1D4h3.jpg,[]
535,31967,tt1401113,Dante's Inferno: An Animated Epic,0,2010-02-09,0,84.0,en,Dante's Inferno: An Animated Epic,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",6.1,143,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 27, 'name': 'Horror'}]",/nAEGEYTjbli3JoFgyrLn3blxDqi.jpg,"[{'id': 5385, 'logo_path': None, 'name': 'Dong Woo Animation', 'origin_country': ''}]"
