tconst,primary_title,original_title,start_year,runtime_minutes,genres,averagerating,numvotes,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,release_datetime,datetime_year
tt2032572,USS Indianapolis: Men of Courage,USS Indianapolis: Men of Courage,2016,128.0,"Action,Drama,History",5.2,9453.0,40,"Nov 11, 2016",USS Indianapolis: Men of Courage,40000000,0,1663785,2016-11-11,2016
tt2034139,The Last Exorcism Part II,The Last Exorcism Part II,2013,88.0,"Drama,Horror,Thriller",4.0,15124.0,90,"Mar 1, 2013",The Last Exorcism Part II,4000000,15179303,25448707,2013-03-01,2013
tt2034800,The Great Wall,The Great Wall,2016,103.0,"Action,Adventure,Fantasy",6.0,111602.0,92,"Feb 17, 2017",The Great Wall,150000000,45157105,334486852,2017-02-17,2017
tt7535780,The Great Wall,The Great Wall,2017,72.0,Documentary,6.5,24.0,92,"Feb 17, 2017",The Great Wall,150000000,45157105,334486852,2017-02-17,2017
tt2035599,"Pink Ribbons, Inc.","Pink Ribbons, Inc.",2011,97.0,Documentary,7.3,654.0,76,"Jun 1, 2012","Pink Ribbons, Inc.",1200000,26608,26608,2012-06-01,2012
tt2039338,Flatliners,Flatliners,2017,109.0,"Drama,Horror,Mystery",5.2,33752.0,11,"Sep 29, 2017",Flatliners,20000000,16883115,45173738,2017-09-29,2017
tt2040578,Alien Uprising,U.F.O.,2012,101.0,"Comedy,Horror,Sci-Fi",3.2,3166.0,44,"Jun 21, 2013",Alien Uprising,2500000,0,0,2013-06-21,2013
tt2042568,Inside Llewyn Davis,Inside Llewyn Davis,2013,104.0,"Drama,Music",7.5,123759.0,94,"Dec 6, 2013",Inside Llewyn Davis,11000000,13248209,32943247,2013-12-06,2013
tt2048865,AWOL-72,AWOL-72,2015,82.0,"Action,Thriller",3.8,785.0,65,"Dec 31, 2015",AWOL-72,3000000,0,0,2015-12-31,2015
tt2049518,Sanctuary; Quite a Conundrum,Sanctuary; Quite a Conundrum,2012,82.0,"Comedy,Horror,Thriller",5.4,150.0,39,"Aug 26, 2014",Sanctuary; Quite a Conundrum,200000,0,0,2014-08-26,2014
tt2052015,Water & Power,Water & Power,2013,88.0,"Crime,Drama",6.2,99.0,12,"May 2, 2014",Water & Power,600000,42557,42557,2014-05-02,2014
tt2053463,Side Effects,Side Effects,2013,106.0,"Crime,Drama,Mystery",7.1,168466.0,32,"Feb 8, 2013",Side Effects,30000000,32172757,66742138,2013-02-08,2013
tt2057392,Eye in the Sky,Eye in the Sky,2015,102.0,"Drama,Thriller,War",7.3,72301.0,75,"Mar 11, 2016",Eye in the Sky,13000000,18704596,35402802,2016-03-11,2016
tt2058107,The Railway Man,The Railway Man,2013,116.0,"Biography,Drama,Romance",7.1,34586.0,33,"Apr 11, 2014",The Railway Man,18000000,4438438,23910210,2014-04-11,2014
tt2058673,Point Break,Point Break,2015,114.0,"Action,Crime,Sport",5.3,53802.0,100,"Dec 25, 2015",Point Break,100000000,28782481,126704591,2015-12-25,2015
tt2059171,13 Sins,13 Sins,2014,93.0,"Horror,Thriller",6.3,29550.0,51,"Apr 18, 2014",13 Sins,4000000,9134,47552,2014-04-18,2014
tt2066051,Rocketman,Rocketman,2019,121.0,"Biography,Drama,Music",7.7,24266.0,71,"May 31, 2019",Rocketman,41000000,57342725,108642725,2019-05-31,2019
tt2071441,Dangerous Liaisons,Wi-heom-han gyan-gye,2012,110.0,"Drama,Mystery,Romance",5.9,1694.0,31,"Nov 9, 2012",Dangerous Liaisons,24200000,17000,10447579,2012-11-09,2012
tt2073661,Dawn Patrol,Stranded,2014,88.0,"Drama,Thriller",4.8,615.0,32,"Jun 5, 2015",Dawn Patrol,3500000,0,0,2015-06-05,2015
