,id,imdb_id,title,budget,release_date,revenue,runtime,original_language,original_title,spoken_languages,vote_average,vote_count,genres,poster_path,production_companies
0,12444,tt0926084,Harry Potter and the Deathly Hallows: Part 1,250000000,2010-10-17,954305868,146,en,Harry Potter and the Deathly Hallows: Part 1,"[{'iso_639_1': 'en', 'name': 'English'}]",7.8,12818,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]",/iGoXIpQb7Pot00EEdwpwPajheZ5.jpg,"[{'id': 174, 'logo_path': '/IuAlhI9eVC9Z8UQWOIDdWRKSEJ.png', 'name': 'Warner Bros. Pictures', 'origin_country': 'US'}, {'id': 437, 'logo_path': '/nu20mtwbEIhUNnQ5NXVhHsNknZj.png', 'name': 'Heyday Films', 'origin_country': 'GB'}]"
1,10191,tt0892769,How to Train Your Dragon,165000000,2010-03-10,494878759,100,en,How to Train Your Dragon,"[{'iso_639_1': 'en', 'name': 'English'}]",7.8,8971,"[{'id': 14, 'name': 'Fantasy'}, {'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",/ygGmAO60t8GyqUo9xYeYxSZAR3b.jpg,"[{'id': 521, 'logo_path': '/kP7t6RwGz2AvvTkvnI1uteEwHet.png', 'name': 'DreamWorks Animation', 'origin_country': 'US'}]"
2,10138,tt1228705,Iron Man 2,200000000,2010-04-28,623933331,124,en,Iron Man 2,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ru', 'name': 'Pусский'}, {'iso_639_1': 'fr', 'name': 'Français'}]",6.8,14446,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",/6WBeq4fCfn7AN0o21W9qNcRF2l9.jpg,"[{'id': 420, 'logo_path': '/hUzeosd33nzE5MCNsZxCGEKTXaQ.png', 'name': 'Marvel Studios', 'origin_country': 'US'}, {'id': 4, 'logo_path': '/fycMZt242LVjagMByZOLUGbCvv3.png', 'name': 'Paramount', 'origin_country': 'US'}]"
3,862,tt0114709,Toy Story,30000000,1995-10-30,373554033,81,en,Toy Story,"[{'iso_639_1': 'en', 'name': 'English'}]",7.9,12398,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg,"[{'id': 3, 'logo_path': '/1TjvGVDMYsj6JBxOAkUHpPEwLf7.png', 'name': 'Pixar', 'origin_country': 'US'}]"
4,27205,tt1375666,Inception,160000000,2010-07-15,825532764,148,en,Inception,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ja', 'name': '日本語'}]",8.3,25930,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}]",/9gk7adHYeDvHkCSEqAvQNLV5Uge.jpg,"[{'id': 923, 'logo_path': '/5UQsZrfbfG2dYJbx8DxfoTr2Bvu.png', 'name': 'Legendary Entertainment', 'origin_country': 'US'}, {'id': 9996, 'logo_path': '/3tvBqYsBhxWeHlu62SIJ1el93O7.png', 'name': 'Syncopy', 'origin_country': 'GB'}, {'id': 174, 'logo_path': '/IuAlhI9eVC9Z8UQWOIDdWRKSEJ.png', 'name': 'Warner Bros. Pictures', 'origin_country': 'US'}]"
5,32657,tt0814255,Percy Jackson & the Olympians: The Lightning Thief,95000000,2010-02-01,226497209,119,en,Percy Jackson & the Olympians: The Lightning Thief,"[{'iso_639_1': 'en', 'name': 'English'}]",6.2,5132,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}]",/brzpTyZ5bnM7s53C1KSk1TmrMO6.jpg,"[{'id': 436, 'logo_path': '/A7WCkG3F0NFvjGCwUnclpGdIu9E.png', 'name': '1492 Pictures', 'origin_country': 'US'}, {'id': 5219, 'logo_path': None, 'name': 'Sunswept Entertainment', 'origin_country': ''}, {'id': 444, 'logo_path': '/42UPdZl6B2cFXgNUASR8hSt9mpS.png', 'name': 'Dune Entertainment', 'origin_country': 'US'}, {'id': 711, 'logo_path': '/tEiIH5QesdheJmDAqQwvtN60727.png', 'name': 'Fox 2000 Pictures', 'origin_country': 'US'}, {'id': 25, 'logo_path': '/qZCc1lty5FzX30aOCVRBLzaVmcp.png', 'name': '20th Century Fox', 'origin_country': 'US'}]"
6,19995,tt0499549,Avatar,237000000,2009-12-10,2787965087,162,en,Avatar,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",7.4,21369,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]",/btnl50ZDJDSCal2NLQIYWw0XxvH.jpg,"[{'id': 444, 'logo_path': '/42UPdZl6B2cFXgNUASR8hSt9mpS.png', 'name': 'Dune Entertainment', 'origin_country': 'US'}, {'id': 574, 'logo_path': '/iB6GjNVHs5hOqcEYt2rcjBqIjki.png', 'name': 'Lightstorm Entertainment', 'origin_country': 'US'}, {'id': 25, 'logo_path': '/qZCc1lty5FzX30aOCVRBLzaVmcp.png', 'name': '20th Century Fox', 'origin_country': 'US'}, {'id': 290, 'logo_path': '/Q8mw2AOQQc8Qg0uNwLWq86DVZv.png', 'name': 'Ingenious Media', 'origin_country': 'GB'}]"
7,10193,tt0435761,Toy Story 3,200000000,2010-06-16,1066969703,103,en,Toy Story 3,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",7.8,10177,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}]",/a83hHwstUsEEjE55kTgDkZMFweR.jpg,"[{'id': 3, 'logo_path': '/1TjvGVDMYsj6JBxOAkUHpPEwLf7.png', 'name': 'Pixar', 'origin_country': 'US'}]"
8,20352,tt1323594,Despicable Me,69000000,2010-07-08,543513985,95,en,Despicable Me,"[{'iso_639_1': 'en', 'name': 'English'}]",7.2,11333,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",/wqtH95Ri9Au2euC4p86lLoFCJQk.jpg,"[{'id': 6704, 'logo_path': '/fOG2oY4m1YuYTQh4bMqqZkmgOAI.png', 'name': 'Illumination Entertainment', 'origin_country': 'US'}, {'id': 33, 'logo_path': '/8lvHyhjr8oUKOOy2dKXoALWKdp0.png', 'name': 'Universal Pictures', 'origin_country': 'US'}]"
9,38055,tt1001526,Megamind,130000000,2010-10-28,321885765,96,en,Megamind,"[{'iso_639_1': 'en', 'name': 'English'}]",6.8,4356,"[{'id': 16, 'name': 'Animation'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 878, 'name': 'Science Fiction'}]",/ozecjGWL47TQ9mKrPg2Y3WTh2UJ.jpg,"[{'id': 521, 'logo_path': '/kP7t6RwGz2AvvTkvnI1uteEwHet.png', 'name': 'DreamWorks Animation', 'origin_country': 'US'}, {'id': 520, 'logo_path': '/pU7YTI9FfrICurXpl5V9TfCO0oJ.png', 'name': 'Pacific Data Images', 'origin_country': 'US'}]"
