,tconst,primary_title,original_title_x,start_year,runtime_minutes,genres,averagerating,numvotes,id,release_date_x,movie,production_budget,domestic_gross,worldwide_gross,release_year,genre_ids,tmdb_id,original_language,original_title_y,popularity,release_date_y,title,vote_average,vote_count
2575,tt5439796,Logan Lucky,Logan Lucky,2017,118.0,"Comedy,Crime,Drama",7.0,105966.0,21,2017-08-18,Logan Lucky,29000000,27778642,44264271,2017,"[28, 35, 80, 18]",399170,en,Logan Lucky,15.743,2017-08-18,Logan Lucky,6.7,1627
2576,tt5462602,The Big Sick,The Big Sick,2017,120.0,"Comedy,Drama,Romance",7.6,104008.0,64,2017-06-23,The Big Sick,5000000,42872467,53972860,2017,"[35, 18, 10749]",416477,en,The Big Sick,12.322000000000001,2017-06-23,The Big Sick,7.4,1302
2577,tt5463162,Deadpool 2,Deadpool 2,2018,119.0,"Action,Adventure,Comedy",7.8,391735.0,15,2018-05-18,Deadpool 2,110000000,324591735,786680557,2018,"[28, 35, 12]",383498,en,Deadpool 2,38.894,2018-05-10,Deadpool 2,7.5,8773
2578,tt5519340,Bright,Bright,2017,117.0,"Action,Crime,Fantasy",6.4,147834.0,80,2017-12-13,Bright,90000000,0,0,2017,"[28, 80, 14]",400106,en,Bright,15.677,2017-12-22,Bright,6.2,3181
2579,tt5523010,The Nutcracker and the Four Realms,The Nutcracker and the Four Realms,2018,99.0,"Adventure,Family,Fantasy",5.5,18734.0,35,2018-11-02,The Nutcracker and the Four Realms,132900000,54858851,170293899,2018,"[14, 12, 10751]",426543,en,The Nutcracker and the Four Realms,26.235,2018-11-02,The Nutcracker and the Four Realms,6.0,909
2580,tt5580036,"I, Tonya","I, Tonya",2017,120.0,"Biography,Comedy,Drama",7.5,141668.0,83,2017-12-08,"I, Tonya",11000000,30014534,53797409,2017,[18],389015,en,"I, Tonya",15.407,2017-12-08,"I, Tonya",7.5,2904
2581,tt5580266,The Hate U Give,The Hate U Give,2018,133.0,"Crime,Drama",7.3,17583.0,78,2018-10-05,The Hate U Give,23000000,29719483,35067665,2018,"[80, 18]",470044,en,The Hate U Give,19.135,2018-10-19,The Hate U Give,8.2,636
2582,tt5580390,The Shape of Water,The Shape of Water,2017,123.0,"Adventure,Drama,Fantasy",7.3,308112.0,19,2017-12-01,The Shape of Water,19500000,63859435,195790794,2017,"[18, 14, 10749]",399055,en,The Shape of Water,22.025,2017-12-01,The Shape of Water,7.2,7224
2583,tt5599520,Night School,Night School,2016,85.0,Documentary,7.2,112.0,16,2018-09-28,Night School,29000000,77339130,103008792,2018,[99],390745,en,Night School,0.6,2016-04-15,Night School,7.0,2
2584,tt5599520,Night School,Night School,2016,85.0,Documentary,7.2,112.0,16,2018-09-28,Night School,29000000,77339130,103008792,2018,[35],454293,en,Night School,12.786,2018-09-28,Night School,6.0,775
2585,tt6781982,Night School,Night School,2018,111.0,Comedy,5.6,23501.0,16,2018-09-28,Night School,29000000,77339130,103008792,2018,[99],390745,en,Night School,0.6,2016-04-15,Night School,7.0,2
2586,tt6781982,Night School,Night School,2018,111.0,Comedy,5.6,23501.0,16,2018-09-28,Night School,29000000,77339130,103008792,2018,[35],454293,en,Night School,12.786,2018-09-28,Night School,6.0,775
2587,tt5649108,Thoroughbreds,Thoroughbreds,2017,92.0,"Comedy,Crime,Drama",6.7,25098.0,47,2018-03-09,Thoroughbreds,5000000,3072605,3187302,2018,"[18, 53]",397722,en,Thoroughbreds,11.241,2018-03-09,Thoroughbreds,6.3,398
2588,tt5649144,The Florida Project,The Florida Project,2017,111.0,Drama,7.6,72193.0,11,2017-10-06,The Florida Project,2000000,5904366,11295324,2017,[18],394117,en,The Florida Project,11.597000000000001,2017-10-06,The Florida Project,7.4,1125
2589,tt5664636,Goosebumps 2: Haunted Halloween,Goosebumps 2: Haunted Halloween,2018,90.0,"Adventure,Comedy,Family",5.6,11459.0,63,2018-10-12,Goosebumps 2: Haunted Halloween,35000000,46697321,93291478,2018,"[12, 35, 14, 10751, 27]",442062,en,Goosebumps 2: Haunted Halloween,20.238,2018-10-12,Goosebumps 2: Haunted Halloween,5.6,428
2590,tt5688932,Sorry to Bother You,Sorry to Bother You,2018,111.0,"Comedy,Fantasy,Sci-Fi",7.0,40290.0,54,2018-07-06,Sorry to Bother You,3200000,17493096,18285560,2018,"[14, 878, 35]",424781,en,Sorry to Bother You,15.887,2018-07-06,Sorry to Bother You,6.9,481
2591,tt5690360,Slender Man,Slender Man,2018,93.0,"Horror,Mystery,Thriller",3.2,19650.0,80,2018-08-10,Slender Man,10000000,30564825,51723644,2018,"[9648, 53, 27]",439015,en,Slender Man,16.999000000000002,2018-08-10,Slender Man,4.0,712
2592,tt5897302,Slender Man,Slender Man,2013,52.0,"Adventure,Comedy,Horror",5.9,32.0,80,2018-08-10,Slender Man,10000000,30564825,51723644,2018,"[9648, 53, 27]",439015,en,Slender Man,16.999000000000002,2018-08-10,Slender Man,4.0,712
2593,tt5721088,Just Getting Started,Just Getting Started,2017,91.0,"Action,Comedy",4.4,4829.0,44,2017-12-08,Just Getting Started,22000000,6069605,6756412,2017,"[28, 35]",398177,en,Just Getting Started,8.459,2017-12-08,Just Getting Started,4.9,94
2594,tt5726086,Insidious: The Last Key,Insidious: The Last Key,2018,103.0,"Horror,Mystery,Thriller",5.7,42154.0,45,2018-01-05,Insidious: The Last Key,10000000,67745330,167885588,2018,"[9648, 27, 53]",406563,en,Insidious: The Last Key,16.017,2018-01-05,Insidious: The Last Key,6.1,1306
